Project_ID,Description,Risk_Types
2679,"This is a Industrial project in North Ashleyport, Saudi Arabia. Budget: 19.7M, Timeline: 9 months, Past Incidents: 3. The project follows standard practices. material prices are volatile potential for soil contamination","Budget Overrun,Environmental"
2680,"This is a Industrial project in South Marymouth, Uganda. Budget: 6.6M, Timeline: 31 months, Past Incidents: 1. The team is experienced. has potential for accidents",Safety
2681,"This is a Commercial project in Humphreyview, Niue. Budget: 8.9M, Timeline: 51 months, Past Incidents: 0. Stakeholders are actively involved. may face permitting delays contingency budget is low","Delay,Budget Overrun"
2682,"This is a Mixed-Use project in Erikamouth, Serbia. Budget: 3.1M, Timeline: 15 months, Past Incidents: 5. Stakeholders are actively involved. requires working at heights complex design","Safety,Quality Issue"
2683,"This is a Mixed-Use project in Lake Martinport, New Zealand. Budget: 26.9M, Timeline: 25 months, Past Incidents: 2. The project follows standard practices. has a tight deadline waste management challenges","Delay,Environmental"
2684,"This is a Mixed-Use project in Brittanyside, Samoa. Budget: 70.4M, Timeline: 7 months, Past Incidents: 5. The team is experienced. may face permitting delays",Delay
2685,"This is a Mixed-Use project in Petersstad, Azerbaijan. Budget: 71.7M, Timeline: 49 months, Past Incidents: 5. Stakeholders are actively involved. dependent on weather conditions high precision required","Delay,Quality Issue"
2686,"This is a Mixed-Use project in Bettyview, Palau. Budget: 53.0M, Timeline: 7 months, Past Incidents: 1. Stakeholders are actively involved. located in a high-risk area has a tight deadline","Safety,Delay"
2687,"This is a Infrastructure project in South Carolyn, Cayman Islands. Budget: 53.1M, Timeline: 37 months, Past Incidents: 2. The team is experienced. strict environmental regulations",Environmental
2688,"This is a Industrial project in West Samantha, Western Sahara. Budget: 3.0M, Timeline: 21 months, Past Incidents: 3. The project follows standard practices. has potential for accidents",Safety
2689,"This is a Commercial project in Bassstad, Croatia. Budget: 4.8M, Timeline: 19 months, Past Incidents: 5. The project is well-planned. may face permitting delays currency exchange risks unproven subcontractors high carbon footprint","Delay,Budget Overrun,Quality Issue,Environmental"
2690,"This is a Commercial project in Burnettmouth, Brazil. Budget: 67.6M, Timeline: 48 months, Past Incidents: 3. Stakeholders are actively involved. has a tight deadline",Delay
2691,"This is a Infrastructure project in North Troy, Bahamas. Budget: 76.2M, Timeline: 27 months, Past Incidents: 0. The project is well-planned. located in a high-risk area",Safety
2692,"This is a Infrastructure project in West Reginatown, Korea. Budget: 78.0M, Timeline: 10 months, Past Incidents: 5. The project follows standard practices. high precision required high carbon footprint","Quality Issue,Environmental"
2693,"This is a Industrial project in North Anthonymouth, Trinidad and Tobago. Budget: 60.1M, Timeline: 17 months, Past Incidents: 0. The project follows standard practices. needs strict safety protocols material prices are volatile uses new construction techniques located in a sensitive ecosystem","Safety,Budget Overrun,Quality Issue,Environmental"
2694,"This is a Residential project in Bryanland, Niger. Budget: 88.8M, Timeline: 23 months, Past Incidents: 3. The project follows standard practices. strict environmental regulations",Environmental
2695,"This is a Commercial project in Loweryport, Burundi. Budget: 53.1M, Timeline: 52 months, Past Incidents: 1. The team is experienced. has a tight deadline uncertain cost estimates high carbon footprint","Delay,Budget Overrun,Environmental"
2696,"This is a Industrial project in Rodriguezfurt, Tonga. Budget: 87.0M, Timeline: 15 months, Past Incidents: 2. The project follows standard practices. scope creep is likely potential for soil contamination","Budget Overrun,Environmental"
2697,"This is a Industrial project in East Meganburgh, Saint Pierre and Miquelon. Budget: 84.9M, Timeline: 30 months, Past Incidents: 1. The team is experienced. has potential for accidents",Safety
2698,"This is a Infrastructure project in Robertstad, Saint Kitts and Nevis. Budget: 28.5M, Timeline: 28 months, Past Incidents: 5. The project is well-planned. uses new construction techniques",Quality Issue
2699,"This is a Residential project in Burgessfurt, Falkland Islands (Malvinas). Budget: 25.3M, Timeline: 41 months, Past Incidents: 1. The team is experienced. needs strict safety protocols",Safety
2700,"This is a Infrastructure project in Michaelport, Suriname. Budget: 71.2M, Timeline: 52 months, Past Incidents: 5. The project follows standard practices. potential supply chain disruptions uses new construction techniques located in a sensitive ecosystem","Delay,Quality Issue,Environmental"
2701,"This is a Mixed-Use project in Nelsonfort, Marshall Islands. Budget: 17.6M, Timeline: 39 months, Past Incidents: 2. The team is experienced. complex scheduling required currency exchange risks waste management challenges","Delay,Budget Overrun,Environmental"
2702,"This is a Commercial project in Arroyofurt, New Caledonia. Budget: 3.5M, Timeline: 26 months, Past Incidents: 0. The team is experienced. may face permitting delays contingency budget is low strict environmental regulations","Delay,Budget Overrun,Environmental"
2703,"This is a Commercial project in Port Daniel, Mayotte. Budget: 22.5M, Timeline: 46 months, Past Incidents: 5. Stakeholders are actively involved. uncertain cost estimates unproven subcontractors","Budget Overrun,Quality Issue"
2704,"This is a Industrial project in Yodertown, Singapore. Budget: 79.5M, Timeline: 44 months, Past Incidents: 4. The project follows standard practices. dependent on weather conditions contingency budget is low strict environmental regulations","Delay,Budget Overrun,Environmental"
2705,"This is a Commercial project in Raymondton, New Caledonia. Budget: 4.5M, Timeline: 56 months, Past Incidents: 2. The team is experienced. dependent on weather conditions uses new construction techniques","Delay,Quality Issue"
2706,"This is a Commercial project in Jessemouth, Mayotte. Budget: 81.0M, Timeline: 40 months, Past Incidents: 2. The project is well-planned. involves heavy machinery contingency budget is low high precision required","Safety,Budget Overrun,Quality Issue"
2707,"This is a Mixed-Use project in Amberstad, Ghana. Budget: 95.3M, Timeline: 39 months, Past Incidents: 4. The team is experienced. uncertain cost estimates",Budget Overrun
2708,"This is a Residential project in East Lauraside, Latvia. Budget: 45.6M, Timeline: 11 months, Past Incidents: 4. The project follows standard practices. uncertain cost estimates",Budget Overrun
2709,"This is a Commercial project in Lowemouth, Bouvet Island (Bouvetoya). Budget: 86.9M, Timeline: 23 months, Past Incidents: 4. The team is experienced. material prices are volatile complex design potential for soil contamination","Budget Overrun,Quality Issue,Environmental"
2710,"This is a Industrial project in Sanchezborough, Cape Verde. Budget: 21.7M, Timeline: 39 months, Past Incidents: 2. The project follows standard practices. has potential for accidents scope creep is likely","Safety,Budget Overrun"
2711,"This is a Industrial project in Sweeneyport, United States Virgin Islands. Budget: 38.0M, Timeline: 11 months, Past Incidents: 1. Stakeholders are actively involved. complex scheduling required currency exchange risks potential for soil contamination","Delay,Budget Overrun,Environmental"
2712,"This is a Infrastructure project in Kennethhaven, Australia. Budget: 77.2M, Timeline: 29 months, Past Incidents: 0. The project is well-planned. potential supply chain disruptions",Delay
2713,"This is a Commercial project in Jonesstad, Philippines. Budget: 12.0M, Timeline: 26 months, Past Incidents: 1. The project is well-planned. requires working at heights has a tight deadline located in a sensitive ecosystem","Safety,Delay,Environmental"
2714,"This is a Infrastructure project in Millston, Australia. Budget: 80.6M, Timeline: 36 months, Past Incidents: 4. Stakeholders are actively involved. uses new construction techniques",Quality Issue
2715,"This is a Residential project in East Alex, Montenegro. Budget: 68.6M, Timeline: 54 months, Past Incidents: 5. Stakeholders are actively involved. complex design",Quality Issue
2716,"This is a Mixed-Use project in Port Mary, Romania. Budget: 79.1M, Timeline: 46 months, Past Incidents: 1. The team is experienced. needs strict safety protocols",Safety
2717,"This is a Residential project in Jonesburgh, Bouvet Island (Bouvetoya). Budget: 55.4M, Timeline: 13 months, Past Incidents: 5. The project is well-planned. complex scheduling required uncertain cost estimates","Delay,Budget Overrun"
2718,"This is a Commercial project in Michelleshire, Antarctica (the territory South of 60 deg S). Budget: 90.1M, Timeline: 19 months, Past Incidents: 5. The project follows standard practices. uses new construction techniques",Quality Issue
2719,"This is a Industrial project in South Ryan, Sudan. Budget: 22.4M, Timeline: 43 months, Past Incidents: 2. Stakeholders are actively involved. requires working at heights",Safety
2720,"This is a Commercial project in New Chad, Bosnia and Herzegovina. Budget: 75.1M, Timeline: 11 months, Past Incidents: 4. Stakeholders are actively involved. currency exchange risks potential for soil contamination","Budget Overrun,Environmental"
2721,"This is a Mixed-Use project in Leonardport, Mozambique. Budget: 94.0M, Timeline: 49 months, Past Incidents: 1. The project is well-planned. may face permitting delays material prices are volatile","Delay,Budget Overrun"
2722,"This is a Residential project in Cherylport, Zimbabwe. Budget: 72.5M, Timeline: 55 months, Past Incidents: 0. The project follows standard practices. dependent on weather conditions scope creep is likely","Delay,Budget Overrun"
2723,"This is a Infrastructure project in New Autumnborough, Thailand. Budget: 12.0M, Timeline: 20 months, Past Incidents: 3. The project follows standard practices. located in a high-risk area dependent on weather conditions","Safety,Delay"
2724,"This is a Residential project in Brownfurt, Ireland. Budget: 3.1M, Timeline: 16 months, Past Incidents: 4. The project follows standard practices. may face permitting delays material prices are volatile","Delay,Budget Overrun"
2725,"This is a Infrastructure project in East Sergio, Lebanon. Budget: 9.4M, Timeline: 10 months, Past Incidents: 1. Stakeholders are actively involved. involves heavy machinery high carbon footprint","Safety,Environmental"
2726,"This is a Mixed-Use project in Lake Nicole, Guam. Budget: 82.3M, Timeline: 36 months, Past Incidents: 3. The team is experienced. requires working at heights uncertain cost estimates","Safety,Budget Overrun"
2727,"This is a Infrastructure project in East Jessicaside, El Salvador. Budget: 64.5M, Timeline: 20 months, Past Incidents: 5. The project is well-planned. involves heavy machinery uses new construction techniques high carbon footprint","Safety,Quality Issue,Environmental"
2728,"This is a Commercial project in Brownland, Benin. Budget: 26.8M, Timeline: 43 months, Past Incidents: 2. The team is experienced. scope creep is likely high carbon footprint","Budget Overrun,Environmental"
2729,"This is a Mixed-Use project in Cruzfort, Papua New Guinea. Budget: 49.0M, Timeline: 57 months, Past Incidents: 1. The project is well-planned. dependent on weather conditions",Delay
2730,"This is a Infrastructure project in Martinezmouth, Mexico. Budget: 48.3M, Timeline: 20 months, Past Incidents: 2. Stakeholders are actively involved. waste management challenges",Environmental
2731,"This is a Residential project in Port Ian, Samoa. Budget: 13.0M, Timeline: 14 months, Past Incidents: 3. The project is well-planned. has potential for accidents high carbon footprint","Safety,Environmental"
2732,"This is a Industrial project in New Jillianstad, Reunion. Budget: 68.7M, Timeline: 19 months, Past Incidents: 0. The project follows standard practices. requires working at heights",Safety
2733,"This is a Infrastructure project in West Leah, Swaziland. Budget: 60.7M, Timeline: 16 months, Past Incidents: 5. The team is experienced. requires working at heights unproven subcontractors high carbon footprint","Safety,Quality Issue,Environmental"
2734,"This is a Mixed-Use project in Helenfort, Qatar. Budget: 1.8M, Timeline: 10 months, Past Incidents: 1. The project is well-planned. has a tight deadline material prices are volatile","Delay,Budget Overrun"
2735,"This is a Industrial project in East Becky, Senegal. Budget: 82.4M, Timeline: 24 months, Past Incidents: 1. Stakeholders are actively involved. requires working at heights dependent on weather conditions uses new construction techniques","Safety,Delay,Quality Issue"
2736,"This is a Commercial project in West Jenniferberg, Comoros. Budget: 34.7M, Timeline: 8 months, Past Incidents: 5. The team is experienced. currency exchange risks",Budget Overrun
2737,"This is a Residential project in Port Brian, Falkland Islands (Malvinas). Budget: 81.1M, Timeline: 8 months, Past Incidents: 5. The project follows standard practices. complex scheduling required complex design","Delay,Quality Issue"
2738,"This is a Mixed-Use project in New Latashaburgh, British Indian Ocean Territory (Chagos Archipelago). Budget: 60.3M, Timeline: 33 months, Past Incidents: 3. The project follows standard practices. located in a high-risk area strict environmental regulations","Safety,Environmental"
2739,"This is a Industrial project in Port Francis, Chad. Budget: 89.0M, Timeline: 50 months, Past Incidents: 0. Stakeholders are actively involved. material prices are volatile tight quality control needed potential for soil contamination","Budget Overrun,Quality Issue,Environmental"
2740,"This is a Infrastructure project in Markchester, Czech Republic. Budget: 88.7M, Timeline: 16 months, Past Incidents: 0. Stakeholders are actively involved. needs strict safety protocols potential supply chain disruptions contingency budget is low strict environmental regulations","Safety,Delay,Budget Overrun,Environmental"
2741,"This is a Commercial project in Nguyenfurt, Argentina. Budget: 90.2M, Timeline: 35 months, Past Incidents: 3. The project follows standard practices. currency exchange risks",Budget Overrun
2742,"This is a Infrastructure project in Elizabethfurt, Cape Verde. Budget: 71.5M, Timeline: 28 months, Past Incidents: 0. The project is well-planned. has potential for accidents",Safety
2743,"This is a Commercial project in New Pamelafurt, South Georgia and the South Sandwich Islands. Budget: 50.8M, Timeline: 53 months, Past Incidents: 1. The project is well-planned. located in a high-risk area",Safety
2744,"This is a Mixed-Use project in Jasonmouth, Korea. Budget: 17.7M, Timeline: 58 months, Past Incidents: 0. Stakeholders are actively involved. requires working at heights",Safety
2745,"This is a Infrastructure project in Veronicaport, Turkmenistan. Budget: 1.3M, Timeline: 48 months, Past Incidents: 4. The project follows standard practices. potential supply chain disruptions complex design waste management challenges","Delay,Quality Issue,Environmental"
2746,"This is a Residential project in Penaside, Tajikistan. Budget: 94.6M, Timeline: 41 months, Past Incidents: 1. The project is well-planned. dependent on weather conditions uncertain cost estimates tight quality control needed","Delay,Budget Overrun,Quality Issue"
2747,"This is a Residential project in South Ross, Austria. Budget: 54.7M, Timeline: 20 months, Past Incidents: 5. The team is experienced. potential supply chain disruptions",Delay
2748,"This is a Mixed-Use project in East Patrickfurt, Tunisia. Budget: 97.3M, Timeline: 53 months, Past Incidents: 0. The team is experienced. dependent on weather conditions material prices are volatile complex design","Delay,Budget Overrun,Quality Issue"
2749,"This is a Commercial project in Paulfort, Malaysia. Budget: 99.2M, Timeline: 38 months, Past Incidents: 2. Stakeholders are actively involved. strict environmental regulations",Environmental
2750,"This is a Commercial project in North Mariobury, Malawi. Budget: 43.2M, Timeline: 25 months, Past Incidents: 3. Stakeholders are actively involved. high carbon footprint",Environmental
2751,"This is a Industrial project in North Rebecca, Greenland. Budget: 55.6M, Timeline: 22 months, Past Incidents: 2. The project follows standard practices. high precision required high carbon footprint","Quality Issue,Environmental"
2752,"This is a Infrastructure project in Jessicafort, Austria. Budget: 58.5M, Timeline: 51 months, Past Incidents: 1. The team is experienced. requires working at heights",Safety
2753,"This is a Industrial project in New Gwendolynstad, French Guiana. Budget: 55.4M, Timeline: 44 months, Past Incidents: 5. Stakeholders are actively involved. high precision required",Quality Issue
2754,"This is a Industrial project in Colliertown, South Africa. Budget: 25.6M, Timeline: 10 months, Past Incidents: 2. Stakeholders are actively involved. involves heavy machinery tight quality control needed","Safety,Quality Issue"
2755,"This is a Mixed-Use project in West Amber, El Salvador. Budget: 41.6M, Timeline: 7 months, Past Incidents: 4. The project is well-planned. involves heavy machinery contingency budget is low","Safety,Budget Overrun"
2756,"This is a Commercial project in New Anthony, Argentina. Budget: 82.3M, Timeline: 15 months, Past Incidents: 5. Stakeholders are actively involved. needs strict safety protocols dependent on weather conditions","Safety,Delay"
2757,"This is a Industrial project in Joshuaburgh, Saint Vincent and the Grenadines. Budget: 86.9M, Timeline: 28 months, Past Incidents: 4. Stakeholders are actively involved. has a tight deadline contingency budget is low tight quality control needed","Delay,Budget Overrun,Quality Issue"
2758,"This is a Commercial project in Lake Laura, Uruguay. Budget: 77.4M, Timeline: 41 months, Past Incidents: 1. The project is well-planned. dependent on weather conditions material prices are volatile","Delay,Budget Overrun"
2759,"This is a Industrial project in South James, Spain. Budget: 43.4M, Timeline: 56 months, Past Incidents: 0. The project is well-planned. needs strict safety protocols complex scheduling required unproven subcontractors","Safety,Delay,Quality Issue"
2760,"This is a Infrastructure project in Thompsonborough, Guinea-Bissau. Budget: 15.5M, Timeline: 54 months, Past Incidents: 2. Stakeholders are actively involved. involves heavy machinery potential supply chain disruptions potential for soil contamination","Safety,Delay,Environmental"
2761,"This is a Infrastructure project in Port Alejandra, Papua New Guinea. Budget: 8.2M, Timeline: 47 months, Past Incidents: 3. The project is well-planned. has potential for accidents",Safety
2762,"This is a Industrial project in Port Kristen, Northern Mariana Islands. Budget: 13.0M, Timeline: 42 months, Past Incidents: 1. The project is well-planned. located in a high-risk area scope creep is likely","Safety,Budget Overrun"
2763,"This is a Mixed-Use project in New Nicolefurt, Sweden. Budget: 19.3M, Timeline: 31 months, Past Incidents: 5. The project is well-planned. potential supply chain disruptions uncertain cost estimates","Delay,Budget Overrun"
2764,"This is a Mixed-Use project in Westbury, Finland. Budget: 15.0M, Timeline: 30 months, Past Incidents: 4. Stakeholders are actively involved. potential supply chain disruptions currency exchange risks","Delay,Budget Overrun"
2765,"This is a Residential project in Darrenfort, Tanzania. Budget: 43.8M, Timeline: 10 months, Past Incidents: 1. The project is well-planned. requires working at heights dependent on weather conditions","Safety,Delay"
2766,"This is a Commercial project in Bradyfurt, Romania. Budget: 67.4M, Timeline: 40 months, Past Incidents: 0. The project is well-planned. involves heavy machinery may face permitting delays contingency budget is low","Safety,Delay,Budget Overrun"
2767,"This is a Infrastructure project in Lake Jillian, Timor-Leste. Budget: 87.6M, Timeline: 32 months, Past Incidents: 0. The project is well-planned. has a tight deadline",Delay
2768,"This is a Residential project in Huynhfurt, Isle of Man. Budget: 24.9M, Timeline: 30 months, Past Incidents: 1. The project is well-planned. requires working at heights dependent on weather conditions","Safety,Delay"
2769,"This is a Residential project in East Amanda, Qatar. Budget: 3.6M, Timeline: 41 months, Past Incidents: 3. The project is well-planned. potential supply chain disruptions contingency budget is low tight quality control needed","Delay,Budget Overrun,Quality Issue"
2770,"This is a Industrial project in Barneschester, Fiji. Budget: 38.6M, Timeline: 7 months, Past Incidents: 3. The project follows standard practices. contingency budget is low waste management challenges","Budget Overrun,Environmental"
2771,"This is a Commercial project in Port Mary, Syrian Arab Republic. Budget: 44.1M, Timeline: 42 months, Past Incidents: 2. Stakeholders are actively involved. waste management challenges",Environmental
2772,"This is a Commercial project in East Lisa, Chile. Budget: 99.7M, Timeline: 14 months, Past Incidents: 3. The team is experienced. involves heavy machinery located in a sensitive ecosystem","Safety,Environmental"
2773,"This is a Industrial project in Stephanieborough, Slovakia (Slovak Republic). Budget: 11.1M, Timeline: 10 months, Past Incidents: 2. The project is well-planned. involves heavy machinery dependent on weather conditions complex design","Safety,Delay,Quality Issue"
2774,"This is a Residential project in Jenkinsburgh, Nigeria. Budget: 7.2M, Timeline: 60 months, Past Incidents: 4. The team is experienced. uncertain cost estimates",Budget Overrun
2775,"This is a Infrastructure project in Robertshire, Belize. Budget: 4.6M, Timeline: 15 months, Past Incidents: 2. The project is well-planned. has a tight deadline uses new construction techniques located in a sensitive ecosystem","Delay,Quality Issue,Environmental"
2776,"This is a Commercial project in Port Garymouth, Christmas Island. Budget: 17.9M, Timeline: 48 months, Past Incidents: 2. The project follows standard practices. dependent on weather conditions high precision required","Delay,Quality Issue"
2777,"This is a Residential project in Phelpston, Costa Rica. Budget: 73.2M, Timeline: 33 months, Past Incidents: 3. The project is well-planned. needs strict safety protocols has a tight deadline contingency budget is low potential for soil contamination","Safety,Delay,Budget Overrun,Environmental"
2778,"This is a Industrial project in Port Karen, Cote d'Ivoire. Budget: 62.6M, Timeline: 9 months, Past Incidents: 2. The team is experienced. dependent on weather conditions",Delay
2779,"This is a Infrastructure project in Timothyborough, Holy See (Vatican City State). Budget: 16.8M, Timeline: 20 months, Past Incidents: 5. The team is experienced. contingency budget is low high precision required high carbon footprint","Budget Overrun,Quality Issue,Environmental"
2780,"This is a Industrial project in New Marychester, Georgia. Budget: 29.0M, Timeline: 56 months, Past Incidents: 5. The team is experienced. complex scheduling required",Delay
2781,"This is a Industrial project in Brownstad, Saint Pierre and Miquelon. Budget: 46.6M, Timeline: 56 months, Past Incidents: 0. The project follows standard practices. requires working at heights potential supply chain disruptions","Safety,Delay"
2782,"This is a Mixed-Use project in New Jamesville, Cuba. Budget: 28.3M, Timeline: 21 months, Past Incidents: 4. The team is experienced. located in a sensitive ecosystem",Environmental
2783,"This is a Mixed-Use project in Lauriehaven, Benin. Budget: 68.0M, Timeline: 25 months, Past Incidents: 0. The project is well-planned. may face permitting delays waste management challenges","Delay,Environmental"
2784,"This is a Industrial project in South Cynthia, North Macedonia. Budget: 26.5M, Timeline: 17 months, Past Incidents: 2. The project is well-planned. may face permitting delays contingency budget is low uses new construction techniques waste management challenges","Delay,Budget Overrun,Quality Issue,Environmental"
2785,"This is a Commercial project in Port Mitchellview, Georgia. Budget: 91.7M, Timeline: 6 months, Past Incidents: 4. The project is well-planned. may face permitting delays",Delay
2786,"This is a Industrial project in South Kimberly, Equatorial Guinea. Budget: 99.2M, Timeline: 40 months, Past Incidents: 2. The team is experienced. needs strict safety protocols has a tight deadline","Safety,Delay"
2787,"This is a Mixed-Use project in Carlosmouth, Rwanda. Budget: 21.1M, Timeline: 32 months, Past Incidents: 4. Stakeholders are actively involved. has a tight deadline",Delay
2788,"This is a Commercial project in East Alyssabury, Togo. Budget: 73.2M, Timeline: 42 months, Past Incidents: 4. The project is well-planned. contingency budget is low",Budget Overrun
2789,"This is a Residential project in New Gabrielletown, New Zealand. Budget: 27.2M, Timeline: 28 months, Past Incidents: 5. The project follows standard practices. potential supply chain disruptions high precision required","Delay,Quality Issue"
2790,"This is a Residential project in Port Jacquelinemouth, South Africa. Budget: 72.6M, Timeline: 52 months, Past Incidents: 0. Stakeholders are actively involved. located in a high-risk area uncertain cost estimates unproven subcontractors","Safety,Budget Overrun,Quality Issue"
2791,"This is a Infrastructure project in Barnesstad, Comoros. Budget: 29.1M, Timeline: 54 months, Past Incidents: 2. The project is well-planned. complex scheduling required located in a sensitive ecosystem","Delay,Environmental"
2792,"This is a Commercial project in Kellychester, United States Virgin Islands. Budget: 55.0M, Timeline: 34 months, Past Incidents: 4. The project follows standard practices. requires working at heights scope creep is likely","Safety,Budget Overrun"
2793,"This is a Infrastructure project in Thomasshire, Burkina Faso. Budget: 11.8M, Timeline: 29 months, Past Incidents: 3. The project is well-planned. involves heavy machinery has a tight deadline","Safety,Delay"
2794,"This is a Residential project in Port Jonathon, Indonesia. Budget: 99.8M, Timeline: 43 months, Past Incidents: 1. Stakeholders are actively involved. potential supply chain disruptions material prices are volatile","Delay,Budget Overrun"
2795,"This is a Industrial project in Baileymouth, North Macedonia. Budget: 85.1M, Timeline: 55 months, Past Incidents: 0. The project is well-planned. has potential for accidents",Safety
2796,"This is a Commercial project in Robinsonview, Madagascar. Budget: 63.0M, Timeline: 53 months, Past Incidents: 5. The project is well-planned. currency exchange risks",Budget Overrun
2797,"This is a Mixed-Use project in South Annaside, Czech Republic. Budget: 17.1M, Timeline: 50 months, Past Incidents: 2. Stakeholders are actively involved. located in a high-risk area material prices are volatile","Safety,Budget Overrun"
2798,"This is a Infrastructure project in South Aprilland, Kiribati. Budget: 83.6M, Timeline: 24 months, Past Incidents: 2. The project is well-planned. potential for soil contamination",Environmental
2799,"This is a Commercial project in Ramirezstad, Guadeloupe. Budget: 80.5M, Timeline: 43 months, Past Incidents: 3. The project is well-planned. involves heavy machinery material prices are volatile waste management challenges","Safety,Budget Overrun,Environmental"
2800,"This is a Industrial project in Boothburgh, South Africa. Budget: 15.3M, Timeline: 19 months, Past Incidents: 2. The project follows standard practices. located in a high-risk area contingency budget is low waste management challenges","Safety,Budget Overrun,Environmental"
2801,"This is a Industrial project in Terrenceview, Somalia. Budget: 73.4M, Timeline: 21 months, Past Incidents: 1. The project follows standard practices. involves heavy machinery dependent on weather conditions potential for soil contamination","Safety,Delay,Environmental"
2802,"This is a Industrial project in Port Amandabury, Norway. Budget: 91.0M, Timeline: 46 months, Past Incidents: 4. The team is experienced. high precision required high carbon footprint","Quality Issue,Environmental"
2803,"This is a Infrastructure project in Davidfort, Lesotho. Budget: 38.2M, Timeline: 6 months, Past Incidents: 3. The project follows standard practices. located in a high-risk area uncertain cost estimates","Safety,Budget Overrun"
2804,"This is a Industrial project in East Lauraport, United States Minor Outlying Islands. Budget: 56.0M, Timeline: 56 months, Past Incidents: 1. The team is experienced. needs strict safety protocols currency exchange risks unproven subcontractors waste management challenges","Safety,Budget Overrun,Quality Issue,Environmental"
2805,"This is a Infrastructure project in Triciafurt, Falkland Islands (Malvinas). Budget: 73.9M, Timeline: 25 months, Past Incidents: 2. The project follows standard practices. has potential for accidents material prices are volatile unproven subcontractors strict environmental regulations","Safety,Budget Overrun,Quality Issue,Environmental"
2806,"This is a Industrial project in Port Emily, Bahrain. Budget: 93.6M, Timeline: 10 months, Past Incidents: 0. The team is experienced. high precision required",Quality Issue
2807,"This is a Industrial project in Castroside, Benin. Budget: 50.5M, Timeline: 19 months, Past Incidents: 5. The project follows standard practices. currency exchange risks uses new construction techniques waste management challenges","Budget Overrun,Quality Issue,Environmental"
2808,"This is a Commercial project in Livingstonside, Afghanistan. Budget: 42.0M, Timeline: 6 months, Past Incidents: 2. Stakeholders are actively involved. uncertain cost estimates complex design potential for soil contamination","Budget Overrun,Quality Issue,Environmental"
2809,"This is a Commercial project in Jacksonport, Brunei Darussalam. Budget: 90.6M, Timeline: 25 months, Past Incidents: 2. Stakeholders are actively involved. scope creep is likely uses new construction techniques","Budget Overrun,Quality Issue"
2810,"This is a Mixed-Use project in Barronfurt, Bulgaria. Budget: 10.9M, Timeline: 52 months, Past Incidents: 2. The project follows standard practices. may face permitting delays uncertain cost estimates uses new construction techniques","Delay,Budget Overrun,Quality Issue"
2811,"This is a Residential project in Port Jamie, Heard Island and McDonald Islands. Budget: 11.1M, Timeline: 40 months, Past Incidents: 1. Stakeholders are actively involved. dependent on weather conditions high precision required waste management challenges","Delay,Quality Issue,Environmental"
2812,"This is a Mixed-Use project in South Angela, Brunei Darussalam. Budget: 66.3M, Timeline: 34 months, Past Incidents: 4. The project follows standard practices. located in a high-risk area",Safety
2813,"This is a Residential project in New Jose, American Samoa. Budget: 91.0M, Timeline: 45 months, Past Incidents: 5. The project is well-planned. involves heavy machinery has a tight deadline waste management challenges","Safety,Delay,Environmental"
2814,"This is a Residential project in Taylorborough, Cote d'Ivoire. Budget: 75.5M, Timeline: 21 months, Past Incidents: 2. The project follows standard practices. needs strict safety protocols located in a sensitive ecosystem","Safety,Environmental"
2815,"This is a Residential project in Monicamouth, Hungary. Budget: 87.8M, Timeline: 49 months, Past Incidents: 3. The project is well-planned. uncertain cost estimates",Budget Overrun
2816,"This is a Industrial project in South Shelby, Bangladesh. Budget: 73.0M, Timeline: 27 months, Past Incidents: 1. The team is experienced. needs strict safety protocols has a tight deadline","Safety,Delay"
2817,"This is a Residential project in Russostad, Saudi Arabia. Budget: 67.9M, Timeline: 28 months, Past Incidents: 4. The project follows standard practices. located in a high-risk area may face permitting delays","Safety,Delay"
2818,"This is a Industrial project in East Jessica, Iran. Budget: 64.7M, Timeline: 57 months, Past Incidents: 2. The project is well-planned. has a tight deadline high precision required","Delay,Quality Issue"
2819,"This is a Mixed-Use project in Lake Lisa, Zimbabwe. Budget: 18.1M, Timeline: 17 months, Past Incidents: 5. The project follows standard practices. has potential for accidents contingency budget is low","Safety,Budget Overrun"
2820,"This is a Mixed-Use project in East Wendychester, Monaco. Budget: 57.6M, Timeline: 29 months, Past Incidents: 4. The project is well-planned. needs strict safety protocols scope creep is likely","Safety,Budget Overrun"
2821,"This is a Mixed-Use project in West Michelle, Bosnia and Herzegovina. Budget: 53.2M, Timeline: 16 months, Past Incidents: 0. The project follows standard practices. strict environmental regulations",Environmental
2822,"This is a Infrastructure project in West Nathan, Tanzania. Budget: 26.0M, Timeline: 17 months, Past Incidents: 5. The project follows standard practices. uses new construction techniques",Quality Issue
2823,"This is a Commercial project in New Lisa, Honduras. Budget: 3.8M, Timeline: 55 months, Past Incidents: 1. The project follows standard practices. located in a high-risk area material prices are volatile","Safety,Budget Overrun"
2824,"This is a Residential project in Perezfurt, Morocco. Budget: 6.6M, Timeline: 14 months, Past Incidents: 4. The project follows standard practices. tight quality control needed potential for soil contamination","Quality Issue,Environmental"
2825,"This is a Commercial project in Harristown, Slovakia (Slovak Republic). Budget: 93.5M, Timeline: 44 months, Past Incidents: 3. The project is well-planned. currency exchange risks strict environmental regulations","Budget Overrun,Environmental"
2826,"This is a Mixed-Use project in Jeffshire, Gambia. Budget: 35.4M, Timeline: 36 months, Past Incidents: 3. The project is well-planned. has potential for accidents",Safety
